nombre_hoja
datos_generales
suelo
humedad_temp
excrementos
especie_focal
herbivoria
vecindad
com_veg_cobertura
com_veg_contactos
dicc_taxon
dicc_tratamiento
dicc_vallado
dicc_estado_vallado
dicc_crs
